brand,platform,post_url,post_date,post_time,post_type,video_length_seconds,caption_text,hashtags,likes,comments,shares,saves,views,impressions,engagement_rate_manual,visual_style,caption_tone,cta_type,has_creator_collab,creator_handle,has_music_audio,audio_description,emoji_count_in_caption,caption_word_count,mentions_count,is_paid_partnership,notes,content_pillar,collaboration,content_mix_funnel,sku,content_theme
1800 Tequila,Instagram,https://www.instagram.com/reel/DQ9zYQpkRXT/,2025-11-12,13:02,Reel,0,"Good taste always finds its way to the door.
The Berry Sparkler: made to share, made with 1800 Blanco.",,106,7,0,0,0,0,,,Casual / Conversational,None,No,,Yes,,0,19,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) October 1, 2025 - March 16, 2026.csv",,,,,
Lunazul,Instagram,https://www.instagram.com/p/DUyUIY_AJw8/,2026-02-15,12:01,Static Image,0,"Can you tell we’re big-time fans? We know what we’re watching tonight, and we know we’ll need Lunazul in the rotation.",,104,8,0,0,0,0,,,Casual / Conversational,None,No,,No,,0,21,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) October 1, 2025 - March 16, 2026.csv",,,,,
1800 Tequila,Instagram,https://www.instagram.com/reel/DT84XFcjh2B/,2026-01-25,17:58,Reel,0,Turn your night up to 90 (proof) with a convenient small size 375ml bottle. Find us in select markets. Link in bio to purchase online.,,108,2,0,0,0,0,,,Casual / Conversational,Link in bio,No,,Yes,,0,25,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) October 1, 2025 - March 16, 2026.csv",,,,,
Milagro,Instagram,https://www.instagram.com/p/DTGKQDSkRHh/,2026-01-04,11:56,Static Image,0,Proud sponsor of the 31st Annual criticschoice Awards. Be sure to tune in today from 7:00 PM to 10:00 PM ET. #criticschoice,#criticschoice,107,2,0,0,0,0,,,Casual / Conversational,None,No,,No,,0,22,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) October 1, 2025 - March 16, 2026.csv",,,,,
Teremana,Instagram,https://www.instagram.com/reel/DT3UNQFEcI8/,2026-01-23,14:06,Reel,0,And I forgot my umbrella at home,,97,11,0,0,0,0,,,Casual / Conversational,None,No,,Yes,,0,7,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) October 1, 2025 - March 16, 2026.csv",,,,,
Teremana,Instagram,https://www.instagram.com/reel/DVoyh0gESS5/,2026-03-08,16:46,Reel,0,We’re speaking for the people. @ your favorite bar below.,,93,15,0,0,0,0,,,Casual / Conversational,None,No,,Yes,,0,10,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) October 1, 2025 - March 16, 2026.csv",,,,,
Lunazul,Instagram,https://www.instagram.com/p/DUbdnaqCUDn/,2026-02-06,15:00,Carousel,0,Here’s your new favorite ritual. Introducing the Bloody Maria for brunches everywhere.,,90,14,0,0,0,0,,,Casual / Conversational,None,No,,No,,0,12,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) October 1, 2025 - March 16, 2026.csv",,,,,
Teremana,Instagram,https://www.instagram.com/reel/DVel5YikQtI/,2026-03-04,16:42,Reel,0,Could use a little help over here,,100,4,0,0,0,0,,,Casual / Conversational,None,No,,Yes,,0,7,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) October 1, 2025 - March 16, 2026.csv",,,,,
Milagro,Instagram,https://www.instagram.com/p/DVq6IC-CpA_/,2026-03-09,15:00,Carousel,0,"We brought Ahorita to Chicago and the room showed up. Thank you all for coming out to celebrate our first Mixing with Mexico event of the year! If you were here, you’re in this. Go ahead, tag yourself.",,94,8,0,0,0,0,,,Playful / Fun,Tag a friend,No,,No,,0,38,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) October 1, 2025 - March 16, 2026.csv",,,,,
1800 Tequila,Instagram,https://www.instagram.com/reel/DQo_e1wETMc/,2025-11-04,11:01,Reel,0,"A taste that’s as refined as it is versatile. 1800 Reposado: smooth enough to sip, bold enough to mix.",,96,5,0,0,0,0,,,Premium / Luxury,None,No,,Yes,,0,19,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) October 1, 2025 - March 16, 2026.csv",,,,,
