"Date","Post ID","Network","Post Type","Content Type","Profile","Sent by","Link","Post","Linked Content","Impressions","Organic Impressions","Paid Impressions","Reach","Organic Reach","Paid Reach","Potential Reach","Engagement Rate (per Impression)","Engagements","Reactions","Likes","Dislikes","Love Reactions","Haha Reactions","Wow Reactions","Sad Reactions","Angry Reactions","Comments","Shares","Saves","Post Link Clicks","SproutLink Clicks","Other Post Clicks","Post Clicks (All)","Other Engagements","Subscribers Gained from Video","Annotation Clicks","Card Clicks","Video Views","Organic Video Views","Paid Video Views","Partial Video Views","Organic Partial Video Views","Paid Partial Video Views","Full Video Views","Organic Full Video Views","Paid Full Video Views","Full Video View Rate","Follow Video Views","For You Video Views","Hashtag Video Views","Business Account Video Views","Others Video Views","Search Video Views","Sound Video Views","Unspecified Video Views","Estimated Minutes Watched","Story Taps Back","Story Taps Forward","Story Exits","Story Replies","Video Added to Playlists","Subscribers Lost from Video","Video Removed from Playlists","Average Video Time Watched (Seconds)","Tags"
"1/20/2026 8:37 am","18151887259391300","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3814268183633621565","",,"267","267","","246","246","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","259","5","0","","","","",""
"1/20/2026 8:36 am","18089619866473680","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3814267931958583339","",,"275","275","","245","245","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","253","7","0","","","","",""
"1/20/2026 8:36 am","18200000284328573","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3814267880125430140","",,"287","287","","261","261","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","206","9","0","","","","",""
"1/20/2026 8:36 am","18036803282759401","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3814267846436777899","",,"278","278","","265","265","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","268","5","0","","","","",""
"1/20/2026 8:36 am","17997401468854059","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3814267789754905520","",,"287","287","","269","269","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","271","9","0","","","","",""
"1/20/2026 8:36 am","17896262172243718","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3814267750252962364","",,"320","320","","285","285","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","287","6","0","","","","",""
"1/20/2026 8:36 am","18113956393719156","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3814267694007362002","",,"355","355","","303","303","","","0.56%","2","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","310","11","1","","","","",""
"1/20/2026 8:33 am","18201508480325624","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3814266596752287719","",,"597","597","","497","497","","","0.67%","4","","","","","","","","","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","352","47","2","","","","",""
"1/19/2026 1:53 pm","18089283560047360","Instagram","Post","Carousel","josecuervotequila","Estefanie Marmolejo","https://www.instagram.com/p/DTs_lHvDs3t/","Nights like these don’t need much… just Cuervo, good company, and a reason to stay a little longer 🌙 🥃",,"3,147","3,147","","1,483","1,483","","","1.97%","62","58","58","","","","","","","2","0","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/17/2026 6:38 pm","17969288868005122","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3812396354585447863","",,"1,062","1,062","","946","946","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61","764","100","0","","","","",""
