"Date","Post ID","Network","Post Type","Content Type","Profile","Link","Post","Linked Content","Public Engagements","Reactions","Comments","Shares"
"10/29/2025 8:30 pm","18044294336447125","Instagram","Post","Carousel","patron","https://www.instagram.com/p/DQac99gga0G/","Now that’s how it’s done. We had an amazing time at the race celebrating all things 🏎️ 🏁with the PATRÓN Pit Stop.

#PATRONTequila #PatronCristalino","","800","781","19",""
"1/2/2026 5:10 pm","18087049681841690","Instagram","Post","Carousel","patron","https://www.instagram.com/p/DTBkoakCXL1/","A fresh cocktail for a fresh start. The Cucumber-Coconut Margarita, designed with balance in mind.

1 oz PATRÓN Silver Tequila 
2 oz Coconut water
.75 oz Fresh lime juice
.75 oz Simple syrup
7 Thin slices of cucumber, 3 for garnish

#PATRONTequila #PATRONMargarita","","789","777","12",""
"1/6/2026 5:30 pm","17923655346207255","Instagram","Post","Carousel","patron","https://www.instagram.com/p/DTL6DW1CVL0/","Some things get clearer with age–Cristalino is one of them. Each batch begins as Añejo before being triple filtered without any sweeteners to achieve its crystal clear nature.

#PATRÓNTequila #PATRÓNCristalino","","781","771","10",""
"12/31/2025 4:05 pm","18070469954456888","Instagram","Reel","Video","patron","https://www.instagram.com/reel/DS8TFJOiRbC/","Ring in the New Year with the elevated taste of PATRÓN EL ALTO. 

#PATRONTequila #PATRONELALTO #NYE","","777","769","8",""
"11/7/2025 1:53 pm","18068765225582667","Instagram","Post","Photo","patron","https://www.instagram.com/p/DQxBmyqiS0Y/","This PATRÓN pour took 12 months in the making. It’s smooth, sweet, and right on time.
 
#PATRONTequila #PATRONAñejo","","757","752","5",""
"11/21/2025 4:00 pm","17862311136532746","Instagram","Reel","Video","donjuliotequila","https://www.instagram.com/reel/DRVTLvkD9Mt/","1942 Minis touched down in Tokyo. Our exclusive launch party took beats, pours, and vibes to the next level.
.
.
Las Minis de 1942 llegaron a Tokio, donde no faltaron las vibras, beats y tragos en nuestra fiesta de lanzamiento.","","739","734","5",""
"1/20/2026 4:01 pm","18101058064863848","Instagram","Post","Photo","patron","https://www.instagram.com/p/DTvy_W9idfL/","This awards season, PATRÓN is raising the bar. Celebrate music’s most iconic night with The Golden Record – the Official Cocktail of the 2026 grammys and watch along on Sunday, February 1st.  
 
1.5 oz PATRÓN El ALTO
1 oz Martini & Rossi Prosecco
.5 oz Fino Sherry Tio Pepe
2 oz Pear Cordial
Dash of Bergamot Bitters
 
The perfect way to enjoy PATRÓN is responsibly. www.responsibility.org ©2026. PATRÓN EL ALTO, its trade dress and the bee logo are trademarks. Handcrafted in Mexico. Imported by the PATRÓN Spirits Company, Coral Gables, FL. Tequila – 40% alc. by vol.

#PATRONELALTO #PATRONxGRAMMYS","","731","720","11",""
"10/20/2025 4:55 pm","18096501709834043","Instagram","Reel","Video","patron","https://www.instagram.com/reel/DQCycwYjiln/","What a weekend in Austin. Did you try the Citrus Circuit, the official drink of cota_official?

#PATRONTequila #PATRONCitrusCircuit #COTA","","710","692","18",""
"10/17/2025 7:01 pm","18055885448259677","Instagram","Reel","Video","patron","https://www.instagram.com/reel/DP7ZECjkpMh/","Introducing the Patrón Citrus Circuit. The official drink of cota_official Stop by at the Patrón Hacienda for a pit stop during race weekend. 

#PATRONTequila #PATRONCitrusCircuit #COTA","","709","695","14",""
"11/29/2025 4:35 pm","18081918767104371","Instagram","Post","Carousel","patron","https://www.instagram.com/p/DRp9nvsiVnt/","PATRÓN Añejo—aged to perfection for a smoky finish.

#PATRONTequila #PATRONReposado","","676","669","7",""
