"Date","Network","Profile","Audience","Net Audience Growth","Published Posts","Public Engagements","Public Engagements per Post","% Audience Growth","Published Carousels","Published Videos","Published Photos","Published Links","Published Text","Reactions","Comments","Shares","Top Hashtags by Lifetime Public Engagements"
"01-17-2026","Instagram","donjuliotequila","","","","","","","","","","","","","","",""
"01-17-2026","Instagram","drink818","1,189,403","74","0","0","0","0.0062%","0","0","0","0","0","0","0","0",""
"01-17-2026","Instagram","espolontequila","65,537","18","0","0","0","0.0275%","0","0","0","0","0","0","0","0",""
"01-17-2026","Instagram","patron","436,553","-23","0","0","0","-0.0053%","0","0","0","0","0","0","0","0",""
"01-17-2026","Instagram","teremana","774,610","103","0","0","0","0.0133%","0","0","0","0","0","0","0","0",""
"01-18-2026","Facebook","Jose Cuervo","841,190","-12","0","0","0","-0.0014%","","0","0","0","0","0","0","0",""
"01-18-2026","Instagram","josecuervotequila","111,766","10","0","0","0","0.0089%","","0","0","0","0","0","0","0",""
"01-18-2026","Instagram","1800tequila","","","","","","","","","","","","","","",""
"01-18-2026","Instagram","casamigos","294,275","6","0","0","0","0.0020%","0","0","0","0","0","0","0","0",""
"01-18-2026","Instagram","donjuliotequila","","","","","","","","","","","","","","",""
"01-18-2026","Instagram","drink818","1,189,366","-37","0","0","0","-0.0031%","0","0","0","0","0","0","0","0",""
"01-18-2026","Instagram","espolontequila","65,551","14","0","0","0","0.0214%","0","0","0","0","0","0","0","0",""
"01-18-2026","Instagram","patron","436,578","25","0","0","0","0.0057%","0","0","0","0","0","0","0","0",""
"01-18-2026","Instagram","teremana","774,647","37","0","0","0","0.0048%","0","0","0","0","0","0","0","0",""
"01-19-2026","Facebook","Jose Cuervo","841,176","-14","1","18","18","-0.0017%","0","0","1","0","0","18","0","0",""
"01-19-2026","Instagram","josecuervotequila","111,759","-7","1","59","59","-0.0063%","1","0","0","0","0","57","2","0",""
"01-19-2026","Instagram","1800tequila","","","","","","","","","","","","","","",""
"01-19-2026","Instagram","casamigos","294,320","45","0","0","0","0.0153%","0","0","0","0","0","0","0","0",""
"01-19-2026","Instagram","donjuliotequila","","","","","","","","","","","","","","",""
"01-19-2026","Instagram","drink818","1,189,276","-90","0","0","0","-0.0076%","0","0","0","0","0","0","0","0",""
"01-19-2026","Instagram","espolontequila","65,569","18","0","0","0","0.0275%","0","0","0","0","0","0","0","0",""
"01-19-2026","Instagram","patron","436,579","1","0","0","0","0.0002%","0","0","0","0","0","0","0","0",""
"01-19-2026","Instagram","teremana","774,651","4","0","0","0","0.0005%","0","0","0","0","0","0","0","0",""
"01-20-2026","Facebook","Jose Cuervo","841,165","-11","0","0","0","-0.0013%","","0","0","0","0","0","0","0",""
"01-20-2026","Instagram","josecuervotequila","111,772","13","0","0","0","0.0116%","","0","0","0","0","0","0","0",""
"01-20-2026","Instagram","1800tequila","","","","","","","","","","","","","","",""
"01-20-2026","Instagram","casamigos","294,361","41","0","0","0","0.0139%","0","0","0","0","0","0","0","0",""
"01-20-2026","Instagram","donjuliotequila","","","","","","","","","","","","","","",""
"01-20-2026","Instagram","drink818","1,189,005","-271","1","16,646","16,646","-0.0228%","0","1","0","0","0","16,310","336","0",""
"01-20-2026","Instagram","espolontequila","65,570","1","0","0","0","0.0015%","0","0","0","0","0","0","0","0",""
"01-20-2026","Instagram","patron","436,570","-9","1","729","729","-0.0021%","0","0","1","0","0","718","11","0","#PATRONxGRAMMYS, #PATRONELALTO"
"01-20-2026","Instagram","teremana","774,531","-120","0","0","0","-0.0155%","0","0","0","0","0","0","0","0",""
"01-21-2026","Facebook","Jose Cuervo","841,143","-22","1","5","5","-0.0026%","0","0","1","0","0","5","0","0",""
"01-21-2026","Instagram","josecuervotequila","111,767","-5","1","54","54","-0.0045%","1","0","0","0","0","54","0","3",""
"01-21-2026","Instagram","1800tequila","","","","","","","","","","","","","","",""
"01-21-2026","Instagram","casamigos","294,359","-2","1","618","618","-0.0007%","1","0","0","0","0","591","27","0",""
"01-21-2026","Instagram","donjuliotequila","","","","","","","","","","","","","","",""
"01-21-2026","Instagram","drink818","1,189,233","228","1","894","894","0.0192%","1","0","0","0","0","857","37","0",""
"01-21-2026","Instagram","espolontequila","65,577","7","1","115","115","0.0107%","1","0","0","0","0","113","2","0",""
"01-21-2026","Instagram","patron","436,565","-5","0","0","0","-0.0011%","0","0","0","0","0","0","0","0",""
"01-21-2026","Instagram","teremana","774,485","-46","1","359","359","-0.0059%","0","0","1","0","0","352","7","0",""
"01-22-2026","Facebook","Jose Cuervo","841,123","-20","0","0","0","-0.0024%","","0","0","0","0","0","0","0",""
"01-22-2026","Instagram","josecuervotequila","111,763","-4","0","0","0","-0.0036%","","0","0","0","0","0","0","0",""
"01-22-2026","Instagram","1800tequila","","","","","","","","","","","","","","",""
"01-22-2026","Instagram","casamigos","294,365","6","0","0","0","0.0020%","0","0","0","0","0","0","0","0",""
"01-22-2026","Instagram","donjuliotequila","","","","","","","","","","","","","","",""
"01-22-2026","Instagram","drink818","1,189,365","132","1","1,986","1,986","0.0111%","0","1","0","0","0","1,921","65","0",""
"01-22-2026","Instagram","espolontequila","65,598","21","0","0","0","0.0320%","0","0","0","0","0","0","0","0",""
