"Date","Instagram Profile","Followers","Net Follower Growth","Published Posts & Reels","Public Engagements","Public Engagements per Post","% Follower Growth","Published Carousels","Published Videos","Published Photos","Likes","Comments","Top Hashtags by Lifetime Public Engagements"
"10-08-2025","tequilacazadores","37,897","-2","0","0","0","-0.0053%","0","0","0","0","0",""
"10-08-2025","teremana","778,989","-93","0","0","0","-0.0119%","0","0","0","0","0",""
"10-09-2025","josecuervotequila","111,029","16","0","0","0","0.0144%","","0","0","0","0",""
"10-09-2025","1800tequila","","","0","0","0","","","0","0","0","0",""
"10-09-2025","casamigos","289,825","141","0","0","0","0.0487%","0","0","0","0","0",""
"10-09-2025","donjuliotequila","","","0","0","0","","","0","0","0","0",""
"10-09-2025","drink818","1,190,186","-123","2","2,648","1,324","-0.0103%","1","1","0","2,560","88",""
"10-09-2025","eljimadortequila","","","0","0","0","","","0","0","0","0",""
"10-09-2025","espolontequila","64,173","31","0","0","0","0.0483%","0","0","0","0","0",""
"10-09-2025","hornitostequila","","","0","0","0","","","0","0","0","0",""
"10-09-2025","lunazultequila","","","0","0","0","","","0","0","0","0",""
"10-09-2025","milagrotequila","","","0","0","0","","","0","0","0","0",""
"10-09-2025","patron","430,783","39","0","0","0","0.0091%","0","0","0","0","0",""
"10-09-2025","tequilacazadores","37,897","0","0","0","0","0.0000%","0","0","0","0","0",""
"10-09-2025","teremana","779,007","18","0","0","0","0.0023%","0","0","0","0","0",""
"10-10-2025","josecuervotequila","111,038","9","0","0","0","0.0081%","","0","0","0","0",""
"10-10-2025","1800tequila","","","0","0","0","","","0","0","0","0",""
"10-10-2025","casamigos","289,807","-18","1","378","378","-0.0062%","0","1","0","365","13",""
"10-10-2025","donjuliotequila","","","0","0","0","","","0","0","0","0",""
"10-10-2025","drink818","1,190,110","-76","2","4,062","2,031","-0.0064%","1","1","0","3,934","128",""
"10-10-2025","eljimadortequila","","","0","0","0","","","0","0","0","0",""
"10-10-2025","espolontequila","64,198","25","0","0","0","0.0390%","0","0","0","0","0",""
"10-10-2025","hornitostequila","","","0","0","0","","","0","0","0","0",""
"10-10-2025","lunazultequila","","","0","0","0","","","0","0","0","0",""
"10-10-2025","milagrotequila","","","0","0","0","","","0","0","0","0",""
"10-10-2025","patron","430,794","11","0","0","0","0.0026%","0","0","0","0","0",""
"10-10-2025","tequilacazadores","37,893","-4","1","38","38","-0.0106%","0","0","1","37","1","#TequilaCocktail, #TequilaCAZADORES, #RealTequilaForRealPeople"
"10-10-2025","teremana","778,954","-53","0","0","0","-0.0068%","0","0","0","0","0",""
"10-11-2025","josecuervotequila","111,036","-2","1","292","292","-0.0018%","0","1","0","233","59",""
"10-11-2025","1800tequila","","","0","0","0","","","0","0","0","0",""
"10-11-2025","casamigos","289,817","10","0","0","0","0.0035%","0","0","0","0","0",""
"10-11-2025","donjuliotequila","","","0","0","0","","","0","0","0","0",""
