brand,platform,post_date,post_type,post_url,content_pillar,content_mix_funnel,collaboration,likes,comments,shares,saves,views,caption_text,hashtags,post_time,video_length_seconds,impressions,total_engagement,caption_word_count,creator_handle,has_creator_collab,is_paid_partnership
Devils Reserve,Instagram,2025-10-21,Carousel,https://www.instagram.com/p/DQFeqbik4pW/,The Diablito Made Me Do It,,Devils Reserve,625,692,64,30,0,"SPOOKY, SPICY GIVEAWAY 😈🌶️👻 
It’s officially spooky season, and we’re raising a little hell with the ultimate Devil’s Reserve giveaway!

We’re spoiling five lucky hellraisers with a duffle packed with exclusive DR swag, a fiery red mini fridge, and a gift card!

HOW TO ENTER:
🔥 Like this post
👹 Follow @devilsreserve
🌶️ Comment below #RaiseHell and tag a friend who’d always take a Devil’s Reserve shot with you!

BONUS: Comment “😈” on our last 5 posts for extra entries. Winners announced on 11/5! Ready to play with the devil?

No purchase necessary. Open only to legal residents of the (50) U.S. & D.C., age 21+. Ends 11/3/2025. To enter, follow @devilsreserve to verify 21+ and comment on applicable w/ #RaiseHell & #Sweeps. See full official rules, including prize details @ www.mdmgames.com/devilsreservehalloween. No alcohol is part of any prize award. SPONSOR: Proximo Spirits, Inc",,10/21/2025 5:01 pm,,"19,225",1411,144.0,,,
Devils Reserve,Instagram,2025-10-26,Static Image,https://www.instagram.com/p/DQStZgOjJol/,The Sweet Heat,,Devils Reserve,34,30,3,1,0,"The Devil is always ready 😈 We know we're your go to shot, but we also taste great in cocktails!

Stock up on Devil’s Reserve and try out our recipes! Link in bio 🤩",,10/26/2025 8:20 pm,,"5,785",68,34.0,,,
Devils Reserve,Instagram,2025-10-28,Static Image,https://www.instagram.com/p/DQXoOfkk2_D/,The Diablito Made Me Do It,,Devils Reserve,39,30,2,1,0,"True horror story: the bottle’s empty before midnight 👀

Stock up, sinners! The night’s still young 🥃🔥",,10/28/2025 6:11 pm,,"7,986",72,17.0,,,
Devils Reserve,Instagram,2025-10-28,Reel,https://www.instagram.com/reel/DQXYGleFRXm/,The Diablito Made Me Do It,,Devils Reserve,98,34,13,2,"5,026","The devil works hard… but our hosts work harder 🔥

Behind the scenes of a Halloween night powered by Devil’s Reserve — cocktails, chaos, and a little bit of hell-raising!",,10/28/2025 3:50 pm,,"5,026",147,30.0,,,
Devils Reserve,Instagram,2025-10-29,Static Image,https://www.instagram.com/p/DQaceBIjlQt/,The Diablito Made Me Do It,,Devils Reserve,68,64,1,0,0,"Not all devils wear costumes 😈

Some pour a round and let the devilish sweet, tropical, spicy heat speak for itself 🥃 🔥",,10/29/2025 8:26 pm,,"11,925",133,23.0,,,
Devils Reserve,Instagram,2025-10-30,Reel,https://www.instagram.com/reel/DQaEVh5lIWK/,The Diablito Made Me Do It,,Devils Reserve,52,34,1,1,"1,352","The plans: raising a little hell 🔥

Celebrate DR season with a cocktail! All of our recipes are in the link in bio",,10/29/2025 4:55 pm,,"1,352",88,23.0,,,
Devils Reserve,Instagram,2025-10-30,Reel,https://www.instagram.com/reel/DQc6hG7gT-U/,The Diablito Made Me Do It,,Devils Reserve,75,64,3,3,"1,694","Didn’t plan the chaos, just dressed for it 👹

Devil’s Reserve is the best accessory, check the link in bio to get yours!",,10/30/2025 7:27 pm,,"1,694",145,23.0,,,
Devils Reserve,Instagram,2025-10-30,Reel,https://www.instagram.com/reel/DQcZNSxCqwV/,The Diablito Made Me Do It,,Devils Reserve,63,65,4,1,"1,098","“Yeah… that’s what a girls’ night with Devil’s Reserve does” 🔥👹

Make some Devil’s Reserve cocktails for the girlies, recipes in our link in bio!",,10/30/2025 2:37 pm,,"1,098",133,25.0,,,
Devils Reserve,Instagram,2025-10-31,Carousel,https://www.instagram.com/p/DQfYPR8j03p/,The Sweet Heat,,Devils Reserve,66,57,6,5,0,"Made for those who dare the night… Devil’s Reserve celebrates the art of mischief this Halloween 😈

Own the pour. Dare the night. Sip responsibly.
Link in bio to learn more!",,10/31/2025 6:25 pm,,"22,398",134,31.0,,,
Devils Reserve,Instagram,2025-10-31,Carousel,https://www.instagram.com/p/DQfEPZJD4Lf/,The Diablito Made Me Do It,,Devils Reserve,76,59,13,4,0,"We’re not saying your cocktail order says everything about you… but it kinda does 😈🔥

Consider this your official Halloween roast, courtesy of the devil himself!

Did we nail it? Tag your friends and see what their Devil’s Reserve order says about them👇",,10/31/2025 3:30 pm,,"17,106",152,43.0,,,
Devils Reserve,Instagram,2025-11-10,Carousel,https://www.instagram.com/p/DQ5En5RjL6S/,The Diablito Made Me Do It,,Devils Reserve,20,0,0,1,0,"The pour that starts the party… and summons a little hell 🔥

Who’s ready for a DR shotski?! Comment below who would join you! @breakaway @kursza",,11/10/2025 4:54 pm,,"8,396",21,26.0,,,
Devils Reserve,Instagram,2025-11-13,Reel,https://www.instagram.com/reel/DRAZX6tAFfi/,The Sweet Heat,,Devils Reserve,27,0,8,1,"1,029","The Diablito Margarita is sweet, spicy, tropical, and just dangerous enough to call on the Devil himself!

Check the link in bio for more DR recipes 🌶️",,11/13/2025 1:10 pm,,"1,029",36,27.0,,,
Devils Reserve,Instagram,2025-11-17,Reel,https://www.instagram.com/reel/DRLIBwzCKqJ/,Hell on Wheels,,Devils Reserve,83,6,5,20,"71,193","If the Devil threw a party… it’d look like this!

Horns on and shots flowing 🖤🔥 Here’s your inspo for your next party.

Tag below who’s taking the next DR shot with you?",,11/17/2025 5:10 pm,,"71,193",114,33.0,,,
