"Date","Post ID","Network","Post Type","Content Type","Profile","Sent by","Link","Post","Linked Content","Impressions","Organic Impressions","Paid Impressions","Reach","Organic Reach","Paid Reach","Potential Reach","Engagement Rate (per Impression)","Engagements","Reactions","Likes","Dislikes","Love Reactions","Haha Reactions","Wow Reactions","Sad Reactions","Angry Reactions","Comments","Shares","Saves","Post Link Clicks","SproutLink Clicks","Other Post Clicks","Post Clicks (All)","Other Engagements","Subscribers Gained from Video","Annotation Clicks","Card Clicks","Video Views","Organic Video Views","Paid Video Views","Partial Video Views","Organic Partial Video Views","Paid Partial Video Views","Full Video Views","Organic Full Video Views","Paid Full Video Views","Full Video View Rate","Follow Video Views","For You Video Views","Hashtag Video Views","Business Account Video Views","Others Video Views","Search Video Views","Sound Video Views","Unspecified Video Views","Estimated Minutes Watched","Story Taps Back","Story Taps Forward","Story Exits","Story Replies","Video Added to Playlists","Subscribers Lost from Video","Video Removed from Playlists","Average Video Time Watched (Seconds)","Tags"
"1/29/2026 6:04 pm","18079129067251791","Instagram","Reel","Video","devilsreserve","Estefanie Marmolejo","https://www.instagram.com/reel/DUHMJ2MkQdV/","Tag the friend who says “one more song” every single time!

(You already know who you are 😏)",,"117,220","117,220","","89,506","89,506","","","0.91%","1,062","733","733","","","","","","","10","65","254","","","","","","","","","117,220","117,220","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/29/2026 6:03 pm","391065524084625_122194654634447934","Facebook","Reel","Video","Devil's Reserve","Estefanie Marmolejo","https://www.facebook.com/reel/1343402537557088/","Tag the friend who says “one more song” every single time!

(You already know who you are 😏)","https://www.facebook.com/reel/1343402537557088/","1","1","0","6","","","","0%","0","0","0","","0","0","0","0","0","0","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","1.3",""
"1/27/2026 1:26 pm","18070857524410177","Instagram","Story","Video","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3819487132285776567","",,"48","48","","44","44","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","31","9","0","","","","",""
"1/26/2026 11:09 pm","17924732730217846","Instagram","Post","Photo","devilsreserve"," ","https://www.instagram.com/p/DUAAvLljMvR/","The GOAT of cocktails doesn’t ask for permission,  it comes with a Devil’s Reserve shooter on top 😈

👉 Try it this weekend and tag us in your masterpiece!",,"509","509","","334","334","","","3.73%","19","17","17","","","","","","","0","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/26/2026 11:09 pm","391065524084625_122194262522447934","Facebook","Post","Photo","Devil's Reserve"," ","https://www.facebook.com/122157258710447934/posts/122194262522447934","The GOAT of cocktails doesn’t ask for permission,  it comes with a Devil’s Reserve shooter on top 😈

👉 Try it this weekend and tag us in your masterpiece!","https://www.facebook.com/photo.php?fbid=122194262498447934&set=a.122156205344447934&type=3","18","18","0","11","11","0","","0%","0","0","0","","0","0","0","0","0","0","0","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/26/2026 1:43 pm","18062031986317550","Instagram","Story","Photo","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3818771213137841272","You can try but you can’t resist the devil",,"117","117","","95","95","","","1.71%","2","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","39","11","1","","","","",""
"1/26/2026 1:33 pm","18080162189003319","Instagram","Story","Video","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3818765916830817555","",,"131","131","","110","110","","","0.76%","1","","","","","","","","","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","47","13","0","","","","",""
"1/23/2026 6:10 pm","391065524084625_122193844856447934","Facebook","Reel","Video","Devil's Reserve","Estefanie Marmolejo","https://www.facebook.com/reel/906369795684926/","All you need is good company, devilishly sweet tropical heat, and a little chaos 😈","https://www.facebook.com/reel/906369795684926/","9","9","0","13","","","","0%","0","0","0","","0","0","0","0","0","0","0","","","","","0","","","","","3","3","0","2","2","0","1","1","0","","","","","","","","","","","","","","","","","","4.92",""
"1/23/2026 6:10 pm","17944544781095520","Instagram","Reel","Video","devilsreserve","Estefanie Marmolejo","https://www.instagram.com/reel/DT3wJbCElgm/","All you need is good company, devilishly sweet tropical heat, and a little chaos 😈",,"671","671","","551","551","","","3.58%","24","18","18","","","","","","","2","2","2","","","","","","","","","671","671","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/22/2026 3:05 pm","17949686991080117","Instagram","Story","Photo","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3815913319677636420","",,"65","65","","57","57","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","38","13","0","","","","",""
"1/21/2026 11:50 am","17973480182828516","Instagram","Story","Video","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3815090422910411619","",,"56","56","","45","45","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","34","11","0","","","","",""
"1/20/2026 5:18 pm","17897443620382105","Instagram","Post","Carousel","devilsreserve"," ","https://www.instagram.com/p/DTv7z9ZjTpW/","Shotskis and games?
How could you miss out on this?! 😈🔥

👉 Tag your partner-in-chaos and meet us at the next one.",,"542","542","","314","314","","","2.21%","12","11","11","","","","","","","0","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/20/2026 5:18 pm","391065524084625_122193482456447934","Facebook","Post","Photo","Devil's Reserve"," ","https://www.facebook.com/122157258710447934/posts/122193482456447934","Shotskis and games?
How could you miss out on this?! 😈🔥

👉 Tag your partner-in-chaos and meet us at the next one.","https://www.facebook.com/122157258710447934/posts/122193482456447934","13","13","0","12","12","0","","0%","0","0","0","","0","0","0","0","0","0","0","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/20/2026 8:43 am","18085737902117560","Instagram","Story","Photo","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3814271427139447446","It’s been a long week (It’s Tuesday)",,"344","344","","250","250","","","0.87%","3","","","","","","","","","0","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","57","14","0","","","","",""
"1/17/2026 8:47 pm","18013649567651186","Instagram","Story","Video","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3812461501740025245","",,"48","48","","43","43","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","39","2","0","","","","",""
"1/17/2026 8:46 pm","18092359555981538","Instagram","Story","Photo","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3812461219555703551","",,"51","51","","43","43","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","44","0","0","","","","",""
"1/17/2026 8:46 pm","17908800393300945","Instagram","Story","Video","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3812461169651815269","",,"50","50","","43","43","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","41","1","0","","","","",""
"1/17/2026 8:45 pm","17938973235123465","Instagram","Story","Video","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3812460707540220801","",,"56","56","","49","49","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","43","4","0","","","","",""
"1/17/2026 6:36 pm","18093882964763004","Instagram","Story","Photo","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3812395753013373578","",,"95","95","","80","80","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","65","8","0","","","","",""
"1/15/2026 1:23 pm","391065524084625_122192829668447934","Facebook","Reel","Video","Devil's Reserve","Estefanie Marmolejo","https://www.facebook.com/reel/1425779012255573/","You’ve been summoned 😈 ⏱️

Tag your victim below👇","https://www.facebook.com/reel/1425779012255573/","17","17","0","21","","","","0%","0","0","0","","0","0","0","0","0","0","0","","","","","0","","","","","4","4","0","4","4","0","0","0","0","","","","","","","","","","","","","","","","","","3.54",""
