"Date","TikTok Profiles","Published Posts","Net Follower Growth","Followers","Video Views","Impressions","Engagements","Engagement Rate (per Impression)","Likes","Comments","Shares","Profile Views"
"04-02-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"04-03-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"04-04-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"04-05-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"04-06-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"04-07-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"04-08-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"04-09-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"04-10-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"04-11-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"04-12-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"04-13-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"04-14-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"04-15-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"04-16-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"04-17-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"04-18-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"04-19-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"04-20-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"04-21-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"04-22-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"04-23-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"04-24-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"04-25-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"04-26-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"04-27-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"04-28-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"04-29-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"04-30-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"05-01-2025","'@devilsreserve","0","","1","0","0","0","0%","0","0","0","0"
"05-02-2025","'@devilsreserve","0","0","1","0","0","0","0%","0","0","0","0"
"05-03-2025","'@devilsreserve","0","0","1","0","0","0","0%","0","0","0","0"
"05-04-2025","'@devilsreserve","0","0","1","0","0","0","0%","0","0","0","0"
"05-05-2025","'@devilsreserve","0","0","1","0","0","0","0%","0","0","0","0"
"05-06-2025","'@devilsreserve","0","0","1","0","0","0","0%","0","0","0","0"
"05-07-2025","'@devilsreserve","0","0","1","0","0","0","0%","0","0","0","0"
"05-08-2025","'@devilsreserve","0","0","1","0","0","0","0%","0","0","0","0"
"05-09-2025","'@devilsreserve","0","0","1","0","0","0","0%","0","0","0","0"
"05-10-2025","'@devilsreserve","0","1","2","0","0","0","0%","0","0","0","0"
"05-11-2025","'@devilsreserve","0","0","2","0","0","0","0%","0","0","0","0"
