"Date","Post ID","Network","Post Type","Content Type","Profile","Sent by","Link","Post","Linked Content","Impressions","Organic Impressions","Paid Impressions","Reach","Organic Reach","Paid Reach","Potential Reach","Engagement Rate (per Impression)","Engagements","Reactions","Likes","Dislikes","Love Reactions","Haha Reactions","Wow Reactions","Sad Reactions","Angry Reactions","Comments","Shares","Saves","Post Link Clicks","SproutLink Clicks","Other Post Clicks","Post Clicks (All)","Other Engagements","Subscribers Gained from Video","Annotation Clicks","Card Clicks","Video Views","Organic Video Views","Reels Skip Rate","Crossposted Reels Views","Facebook Reels Views","Paid Video Views","Partial Video Views","Organic Partial Video Views","Paid Partial Video Views","Full Video Views","Organic Full Video Views","Paid Full Video Views","Full Video View Rate","Follow Video Views","For You Video Views","Hashtag Video Views","Business Account Video Views","Others Video Views","Search Video Views","Sound Video Views","Unspecified Video Views","Estimated Minutes Watched","Story Taps Back","Story Taps Forward","Story Exits","Story Replies","Video Added to Playlists","Subscribers Lost from Video","Video Removed from Playlists","Average Video Time Watched (Seconds)","Tags"
"5/30/2025 11:41 pm","18038078186322557","Instagram","Story","Video","devilsreserve"," ","https://instagram.com/stories/devilsreserve/3644370807246273298","",,"79","79","","73","73","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","46","31","0","","","","",""
"5/30/2025 6:45 pm","18044647217570732","Instagram","Story","Photo","devilsreserve"," ","https://instagram.com/stories/devilsreserve/3644221825099390909","",,"95","95","","98","98","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","80","11","0","","","","",""
"5/30/2025 6:44 pm","17864029302329882","Instagram","Story","Photo","devilsreserve"," ","https://instagram.com/stories/devilsreserve/3644221739376196897","",,"105","105","","107","107","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","86","6","0","","","","",""
"5/30/2025 11:11 am","18062391410132306","Instagram","Post","Carousel","devilsreserve","Estefanie Marmolejo","https://www.instagram.com/p/DKSEJv0z1TJ/","Festivals hit harder when Devil’s Reserve is in the mix 😈🎶

If you see us out there, don’t just walk by... Come raise a little hell, take the shot, and make a memory you probably won’t forget.

📍If you snap a pic with Devil’s Reserve, tag us so we can share!

#devilsreserve #festivals #raisealittlehell #shotseason @breakaway @kursza",,"1,703","1,703","","469","469","","","2.7%","46","39","39","","","","","","","4","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","chaos tour"
"5/28/2025 9:45 pm","18048275843425769","Instagram","Story","Photo","devilsreserve"," ","https://instagram.com/stories/devilsreserve/3642863245062483701","",,"69","69","","70","70","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","62","11","0","","","","",""
"5/28/2025 9:45 pm","17939001219001957","Instagram","Story","Photo","devilsreserve"," ","https://instagram.com/stories/devilsreserve/3642862974991275152","",,"80","80","","77","77","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","72","6","0","","","","",""
"5/28/2025 9:44 pm","18038785223637255","Instagram","Story","Photo","devilsreserve"," ","https://instagram.com/stories/devilsreserve/3642862737518071591","",,"90","90","","82","82","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","72","5","0","","","","",""
"5/28/2025 3:12 pm","18005590625781092","Instagram","Post","Carousel","devilsreserve","Estefanie Marmolejo","https://www.instagram.com/p/DKNWKaFT7Dd/","Friday night plans: activated 🔥

Devil’s Reserve in hand, boys locked in, and the chaos officially underway!
Tag your crew ⬇️ next round’s on us!

#devilsreserve #fridaynightenergy #tequila #raisealittlehell #fun #shotseason",,"1,371","1,371","","359","359","","","1.97%","27","25","25","","","","","","","2","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","organic"
"5/28/2025 11:12 am","18166096045345255","Instagram","Story","Video","devilsreserve"," ","https://instagram.com/stories/devilsreserve/3642544270885577287","",,"72","72","","70","70","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","47","20","0","","","","",""
"5/27/2025 3:46 pm","17922725343065718","Instagram","Story","Video","devilsreserve"," ","https://instagram.com/stories/devilsreserve/3641957275146830202","",,"70","70","","71","71","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","60","17","0","","","","",""
